State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,Location Type,Type Of Facility
West Bengal,Murshidabad,Naoda,sub_cen,Goghata SC,NA,23.9555,88.466,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Gandhina SC,NA,23.955517,88.72695,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Telduma SC,NA,23.956833,87.919,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,BHABGHATI SC,NA,23.9573,87.717933,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,KUNDOLA SC,NA,23.957885,87.696491,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,KOTASUR SC,NA,23.9592,87.748667,Y,Rural,Public
West Bengal,Birbhum,Rajnagar,sub_cen,Chandrapur GP HQ SC,NA,23.9594,87.369717,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Burwan SC,NA,23.95965,87.88545,Y,Rural,Public
West Bengal,Murshidabad,Hariharpara,sub_cen,Choa SC,NA,23.9602,88.392783,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Maniknagar SC,NA,23.960283,88.313267,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Dalua SC,NA,23.960517,88.264633,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Bansberia SC,NA,23.96095,88.670833,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Dangapara SC,NA,23.961333,88.48035,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Komodda SC,NA,23.961367,87.928667,Y,Rural,Public
West Bengal,Birbhum,Sainthia,sub_cen,Bhabanipur SC,NA,23.962983,87.667667,Y,Rural,Public
West Bengal,Birbhum,Sainthia,sub_cen,Banagram SC,NA,23.964183,87.6329,Y,Rural,Public
West Bengal,Birbhum,Suri I,sub_cen,Barachaturi SC,NA,23.9643,87.472433,Y,Rural,Public
West Bengal,Murshidabad,Berhampore,sub_cen,Chowrigachha SC,NA,23.964433,88.1866,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Kumrai SC,NA,23.965217,87.980683,Y,Rural,Public
West Bengal,Murshidabad,Hariharpara,sub_cen,Beharia SC,NA,23.965733,88.372233,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Gholdoba SC,NA,23.965817,88.46295,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Madda SC,NA,23.96595,88.250567,Y,Rural,Public
West Bengal,Murshidabad,Hariharpara,sub_cen,G Mahismara SC,NA,23.966,88.320883,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,DASPALSA SC,NA,23.966067,87.809433,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,CHHAMNA SC,NA,23.966141,87.823824,Y,Rural,Public
West Bengal,Birbhum,Rajnagar,sub_cen,Bhabanipur GP HQ SC,NA,23.966567,87.379317,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Bhadur RCH SC,NA,23.9675,88.28375,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,NANDIHAT SC,NA,23.968283,87.82475,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Natidanga I GP HQ SC,NA,23.96865,88.542517,Y,Rural,Public
West Bengal,Murshidabad,Kandi,sub_cen,Gokarna SC,NA,23.96885,88.07135,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Ramnagar SC,NA,23.970667,88.529933,Y,Rural,Public
West Bengal,Birbhum,Rajnagar,sub_cen,Sahabad SC,NA,23.9709,87.273,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Biprosekhar SC,NA,23.9726,87.860383,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,KAMARHATI SC,NA,23.973093,87.754512,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Sujapur SC,NA,23.974167,88.218617,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Kuli PHC SC,NA,23.974217,87.965217,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Jhunka SC,NA,23.9744,88.25275,Y,Rural,Public
West Bengal,Birbhum,Rajnagar,sub_cen,Muradganj SC,NA,23.974517,87.334467,Y,Rural,Public
West Bengal,Birbhum,Mohamed Bazar,sub_cen,Charicha SC,NA,23.974767,87.5359,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Senpara SC,NA,23.975867,88.597967,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Durlavpur SC,NA,23.976583,88.447167,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,RADHANAGAR SC,NA,23.977024,87.794889,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Kechuadanga SC,NA,23.977417,88.710767,Y,Rural,Public
West Bengal,Murshidabad,Domkol,sub_cen,Jitpur PHC SC,NA,23.9779282,88.5057297,Y,Rural,Public
West Bengal,Birbhum,Mohamed Bazar,sub_cen,Angargoria SC,NA,23.978017,87.6021,Y,Rural,Public
West Bengal,Birbhum,Rajnagar,sub_cen,Kobilashpur SC,NA,23.978033,87.405817,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Arabpur SC,NA,23.979967,88.682617,Y,Rural,Public
